1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16836,16283,17327,16197,16069,15552,15924,15990,17149,16062,17658,17227,17244,13406,16408,17029,16325,16198,15324,15005,16272,14351,13980,16655,16085,14291,15493,13536,16210,14558,
16552,16138,16983,15704,16068,15405,15576,15604,16598,16020,17397,16977,16847,13018,16102,16716,16144,16198,14878,14804,16028,14140,13895,16221,16085,14021,15108,13044,15758,14503,
16217,15851,16617,15218,15707,15376,15403,15140,16153,15988,17032,16835,16847,12614,15735,16580,16070,15723,14696,14518,15669,13972,13632,16138,15787,13989,15052,12855,15641,14317,
15988,15660,16230,15093,15156,15251,15184,14888,16153,15740,16675,16417,16740,12238,15522,16465,15914,15627,14208,14451,15520,13874,13265,15830,15462,13945,14915,12640,15641,14071,
15944,15372,16048,14817,15079,15102,15097,14697,16120,15577,16663,16366,16721,12238,15522,16151,15684,15548,14180,14133,15130,13813,13265,15664,15165,13860,14706,12640,15522,13791,
15944,15023,16011,14707,14931,15014,15049,14529,15708,15439,16634,15961,16385,12086,15287,15896,15557,15350,14017,14081,14951,13495,13194,15664,15140,13860,14341,12223,15522,13683,
15683,14857,15768,14635,14627,15014,14578,14129,15312,15036,16292,15798,16121,12049,14949,15706,15419,14962,13626,13992,14951,13446,13044,15654,14793,13626,13954,12049,15450,13433,
15683,14647,15587,14470,14461,15014,14123,13758,14944,14967,15960,15731,16026,11907,14772,15698,15215,14913,13306,13816,14934,13275,12818,15580,14564,13492,13912,11966,15218,13252,
15467,14413,15377,14470,14281,14992,14041,13588,14506,14967,15626,15526,15673,11744,14689,15539,14861,14782,13071,13571,14755,13054,12596,15445,14410,13432,13912,11925,15049,12978,
15268,14298,14984,14329,14043,14627,13847,13356,14295,14967,15525,15414,15673,11591,14659,15465,14639,14782,12896,13411,14624,13031,12549,15268,14179,13432,13633,11605,15003,12836,
