1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
13534,12865,12057,11971,12029,12599,12197,11750,13060,12556,13120,13830,13706,10697,12648,13455,12406,12494,11491,11793,12840,11343,11386,12745,11944,11066,12766,10779,12770,11447,
13534,12865,11904,11971,11902,12491,12176,11733,13060,12556,13120,13781,13706,10697,12648,13455,12406,12389,11396,11793,12840,11045,11386,12745,11944,11066,12766,10779,12767,11352,
13534,12865,11904,11854,11541,12491,12033,11715,12981,12355,13120,13679,13706,10697,12648,13455,12406,12160,11367,11793,12840,10928,11386,12745,11944,11050,12704,10693,12729,11312,
13534,12865,11904,11854,11541,12491,11941,11713,12691,12355,13120,13582,13706,10677,12648,13439,12406,12160,11367,11793,12840,10822,11215,12745,11944,11050,12345,10623,12729,11312,
13534,12865,11805,11854,11541,12306,11919,11713,12691,12355,13060,13370,13706,10677,12648,13439,12406,12160,11250,11793,12840,10735,10945,12745,11944,10944,12219,10505,12602,11312,
13534,12716,11801,11854,11541,12235,11919,11713,12691,12121,13060,13370,13706,10677,12648,13439,12406,12160,11250,11793,12840,10735,10945,12731,11944,10944,12219,10505,12602,11261,
13486,12562,11734,11854,11541,12141,11919,11713,12691,12121,12901,13370,13706,10677,12648,13439,12406,12127,11250,11793,12813,10735,10388,12731,11944,10944,12219,10505,12547,11197,
13486,12562,11734,11854,11541,12034,11919,11713,12691,12047,12901,13370,13677,10677,12648,13439,12345,12127,11250,11793,12813,10704,10238,12731,11944,10944,12219,10505,12547,11197,
13130,12562,11734,11771,11510,11908,11904,11585,12691,12047,12901,13370,13677,10677,12648,13439,12250,12127,11250,11793,12813,10704,10233,12731,11944,10930,12219,10505,12441,11133,
12641,12562,11734,11761,11440,11908,11904,11585,12691,12047,12901,13370,13566,10677,12648,13439,12250,12127,11250,11793,12813,10641,10233,12731,11899,10895,12130,10505,12372,11042,
12641,12562,11734,11761,11363,11854,11904,11585,12691,12047,12901,13370,13557,10677,12648,13439,12054,12127,11250,11793,12813,10357,10233,12718,11871,10844,12011,10505,12187,11042,
12641,12562,11734,11761,11322,11854,11904,11566,12691,12047,12901,13370,13557,10677,12648,13189,12054,12127,11140,11793,12813,10357,10233,12613,11871,10485,11979,10505,12179,11042,
12641,12562,11734,11761,11048,11854,11904,11566,12691,12047,12889,13370,13470,10677,12648,12944,12054,12127,11140,11793,12738,10255,10233,12483,11863,10485,11767,10505,12080,11042,
12616,12562,11734,11761,11048,11834,11904,11566,12691,12047,12889,13370,13165,10677,12648,12944,12054,12127,11121,11793,12600,10255,10233,12470,11863,10485,11491,10505,12080,11042,
12616,12562,11734,11761,11048,11834,11904,11483,12691,12047,12889,13370,13075,10677,12648,12944,12054,12127,11059,11793,12510,10255,10233,12470,11863,10485,11347,10505,11935,11042,
12616,12562,11734,11761,11048,11834,11904,11483,12691,12015,12868,13370,13075,10677,12648,12944,12054,12127,11024,11793,12292,10255,10233,12470,11863,10485,11347,10505,11935,11042,
12616,12481,11734,11761,11048,11761,11839,11483,12642,11989,12868,13370,13075,10677,12648,12944,12054,12127,11000,11793,12292,10161,10233,12470,11863,10485,11347,10505,11915,11042,
12616,12433,11734,11761,11048,11697,11839,11483,12642,11989,12868,13370,13075,10677,12648,12944,12054,12127,11000,11793,12292,10161,10233,12470,11863,10485,11347,10505,11915,11042,
12616,12433,11734,11652,11048,11697,11839,11343,12642,11989,12868,13370,13075,10677,12648,12944,12054,12127,11000,11793,12120,10161,10233,12470,11863,10485,11331,10505,11915,11042,
12616,12365,11734,11652,11048,11697,11839,11343,12642,11989,12868,13370,13075,10677,12648,12944,12054,12127,11000,11793,12086,10053,10233,12470,11863,10485,11331,10505,11839,11042,
12616,12248,11734,11527,11048,11697,11839,11343,12642,11989,12868,13370,13075,10677,12648,12944,12054,12127,10792,11793,12086,10053,10233,12470,11863,10485,11238,10505,11760,11042,
12616,12248,11734,11400,11048,11697,11654,11343,12550,11989,12868,13370,13075,10677,12648,12944,12054,12127,10792,11793,12086,10053,10233,12470,11863,10428,11238,10336,11760,11042,
12616,12062,11734,11400,11048,11697,11562,11304,12550,11989,12868,13232,13075,10677,12648,12944,12054,12127,10792,11793,12086,10053,10233,12470,11863,10428,11003,10336,11760,11042,
12616,12062,11734,11389,11048,11697,11503,11304,12550,11989,12868,13232,13075,10677,12589,12944,11931,12127,10792,11793,12086,10053,10233,12470,11863,10428,11003,10336,11731,11042,
12616,11956,11734,11389,11048,11697,11418,11304,12541,11989,12868,13232,13075,10677,12560,12944,11889,12127,10792,11793,12086,10053,10233,12470,11863,10428,11003,10336,11731,11042,
12475,11956,11734,11389,11048,11619,11402,11304,12538,11989,12868,13082,13075,10677,12542,12944,11889,12127,10792,11793,11995,10053,10233,12470,11815,10336,11003,10336,11731,11042,
12303,11831,11734,11389,11048,11619,11402,11304,12538,11989,12868,13082,13075,10677,12542,12944,11871,12127,10792,11793,11995,10053,10233,12470,11745,10190,11003,10336,11731,11042,
12303,11809,11734,11389,11048,11619,11402,11304,12497,11989,12868,13082,13075,10677,12389,12944,11871,12127,10792,11793,11995,10053,10233,12459,11640,10135,11003,10336,11731,11042,
12303,11791,11734,11389,11048,11619,11236,11304,12310,11989,12868,13082,13075,10677,12389,12944,11871,12127,10792,11793,11995,10053,10233,12434,11524,10097,11003,10336,11731,11042,
12303,11787,11734,11389,11048,11619,11197,11304,12149,11989,12868,13015,13075,10677,12360,12944,11845,12127,10792,11793,11995,10053,10233,12434,11524,10097,11003,10336,11731,11001,
12303,11787,11734,11389,11048,11619,11197,11304,12149,11989,12868,13015,13075,10677,12360,12944,11640,12127,10792,11793,11995,10053,10233,12434,11444,10097,11003,10336,11731,10958,
12303,11787,11734,11389,11048,11574,11197,11304,12149,11989,12868,13015,13075,10608,12360,12944,11640,12127,10792,11793,11995,10053,10233,12434,11444,10097,10977,10336,11731,10958,
