1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16728,16138,17075,16179,15499,15776,15924,15606,16946,16143,17658,17435,17421,13622,16261,16480,16382,16240,14967,14974,16243,14658,13931,16994,16050,14291,15677,13354,16340,14455,
16497,15721,16689,16063,15159,15535,15862,15238,16893,15872,17629,17271,17024,13112,15939,16402,15940,16054,14865,14688,16087,14521,13931,16659,16046,13815,15332,13213,15982,14012,
16309,15494,16487,15570,14939,15414,15507,15036,16528,15646,17368,17239,16629,12923,15555,16398,15578,15762,14486,14217,15764,14407,13765,16471,15875,13431,15213,12900,15530,13893,
16073,15251,16117,15344,14776,15346,15420,14900,16163,15483,17128,17188,16359,12674,15555,16389,15470,15463,14250,14150,15622,14068,13600,15941,15621,13411,14938,12429,15490,13819,
16073,15010,15955,15142,14677,15152,15283,14598,15932,15402,17103,17188,15977,12582,15236,16075,15359,15220,14250,14150,15434,13992,13579,15599,15529,13261,14791,11951,15441,13605,
15625,14808,15644,14970,14315,14881,14733,14456,15906,15346,16839,16474,15792,12325,14869,15663,15193,15179,14068,14061,15434,13833,13456,15370,15375,13114,14542,11838,15400,13505,
15537,14637,15477,14757,14272,14830,14605,14194,15906,15007,16536,16311,15674,12045,14671,15663,14784,14985,13888,13944,15316,13833,13326,15326,15359,12900,14168,11492,15127,13505,
15239,14457,15270,14668,14024,14701,14453,14024,15741,14967,16179,16192,15362,11843,14671,15495,14784,14959,13591,13686,14980,13833,13021,14911,14993,12654,14168,11328,14888,13120,
15201,14260,14808,14649,13795,14701,14430,13681,15584,14830,15977,16110,15362,11843,14671,15466,14784,14776,13339,13441,14812,13661,13021,14911,14688,12654,13974,11272,14874,12685,
15201,13831,14788,14394,13531,14559,13990,13365,15416,14734,15714,15918,15362,11604,14671,15129,14784,14776,13339,13433,14700,13583,12744,14754,14617,12530,13794,11214,14545,12527,
15201,13762,14415,14394,13515,14559,13843,13090,15416,14515,15685,15856,15362,11494,14671,14970,14784,14768,13247,13257,14598,13555,12744,14754,14303,12294,13760,11106,14252,12053,
