1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
12699,12773,13057,11405,11654,12667,11930,11097,12528,12243,13912,14398,14117,10772,12758,13353,12454,12637,11498,11974,12564,11322,11387,13833,12902,11261,12910,10544,13180,12087,
12699,12773,12755,11392,11489,12667,11930,10797,12528,12243,13912,14350,13873,10772,12758,13353,12454,12637,11498,11974,12085,11322,11387,13833,12861,11224,12910,10544,13101,12087,
12699,12621,12755,11194,11404,12667,11930,10726,12528,12243,13912,14350,13873,10772,12758,13083,12454,12637,11498,11974,12085,11322,11387,13833,12861,11172,12910,10544,13101,12087,
12699,12491,12755,11140,11404,12667,11930,10654,12528,12243,13912,14350,13873,10772,12750,12912,12454,12637,11498,11974,12085,11322,11387,13833,12686,11172,12910,10544,13072,12087,
12699,12491,12755,11140,11404,12612,11930,10654,12528,12243,13912,14350,13865,10772,12748,12825,12454,12637,11498,11974,11693,11224,11387,13833,12686,11172,12910,10443,12997,12087,
12699,12491,12755,11140,11404,12383,11930,10654,12528,12243,13837,14350,13717,10772,12657,12478,12454,12637,11498,11974,11693,11111,11387,13814,12519,11152,12908,10443,12828,12087,
12699,12491,12755,11091,11404,12383,11930,10574,12528,12243,13714,14350,13612,10772,12657,12455,12436,12576,11498,11974,11693,11061,11387,13789,12386,11109,12797,10443,12828,12087,
12699,12491,12755,10996,11404,12383,11930,10563,12528,12243,13714,14350,13612,10772,12657,12433,12436,12522,11498,11974,11693,11037,11387,13625,12326,11109,12621,10443,12828,12087,
12699,12414,12755,10791,11404,12383,11930,10563,12528,12243,13714,14350,13612,10772,12657,12052,12315,12522,11498,11974,11693,10833,11387,13366,12250,11109,12382,10443,12828,12087,
12699,12414,12755,10735,11404,12383,11930,10563,12528,12243,13714,14350,13612,10772,12657,12026,12138,12489,11498,11974,11693,10833,11199,13207,12146,11086,12347,10443,12828,12087,
12699,12414,12755,10724,11275,12383,11930,10563,12528,12235,13653,14350,13612,10682,12451,12026,12105,12489,11498,11974,11693,10833,11199,13125,11959,10956,12347,10443,12724,12006,
12699,12203,12755,10724,11275,12383,11930,10563,12528,12235,13391,14350,13612,10682,12424,12026,12105,12411,11498,11974,11693,10833,11199,13125,11940,10835,12347,10443,12536,12006,
12699,12007,12755,10724,11275,12383,11871,10563,12528,12219,13391,14350,13612,10682,12397,12026,12105,12332,11498,11974,11693,10833,11199,13121,11871,10786,12347,10443,12500,11949,
12699,11995,12755,10724,11275,12273,11623,10563,12528,12111,13282,14350,13612,10682,12342,12026,12105,12332,11498,11974,11693,10830,11199,13025,11871,10755,12347,10443,12454,11764,
12699,11703,12755,10724,11275,12273,11599,10563,12528,12111,13282,14350,13605,10682,12291,12026,12105,12274,11498,11974,11693,10566,11199,12902,11871,10755,12347,10443,12373,11619,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13605,10682,12291,12026,12105,12131,11498,11974,11693,10542,11199,12775,11871,10692,12316,10443,12318,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13496,10682,12241,12026,12105,12082,11498,11974,11693,10542,11199,12775,11871,10692,12209,10383,12299,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13367,10682,12241,12026,12105,12082,11498,11974,11693,10542,11199,12775,11871,10692,12119,10276,12212,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13274,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12775,11871,10692,12119,10276,12149,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13236,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12687,11871,10692,12111,10276,12149,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12687,11871,10692,12111,10276,12149,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12687,11871,10692,12111,10269,12149,11590,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12655,11871,10436,12017,10263,12149,11552,
12699,11703,12755,10724,11275,12273,11599,10563,12459,12111,13282,14350,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12581,11871,10328,11944,10263,12149,11470,
12699,11703,12755,10724,11275,12231,11599,10563,12459,12111,13282,14350,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12428,11871,10302,11944,10263,12149,11470,
12699,11703,12755,10724,11275,12178,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12370,11871,10302,11944,10263,12025,11470,
12699,11703,12755,10724,11275,12089,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12105,12082,11498,11974,11693,10542,11199,12282,11871,10302,11944,10263,11888,11470,
12699,11703,12755,10724,11275,12089,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12074,12082,11498,11974,11693,10542,11199,12282,11871,10302,11819,10263,11888,11470,
12699,11703,12755,10724,11275,12089,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,12282,11871,10302,11636,10263,11888,11470,
12699,11703,12755,10724,11275,12030,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,12282,11871,10302,11636,10263,11888,11470,
12699,11703,12755,10724,11275,12030,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,12282,11871,10302,11619,10263,11888,11470,
12699,11703,12755,10724,11275,12030,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,12282,11871,10302,11536,10263,11888,11470,
12699,11703,12755,10724,11275,12030,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,12210,11871,10302,11536,10263,11888,11470,
12699,11703,12755,10724,11275,12030,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,12004,11871,10302,11536,10263,11888,11470,
12699,11703,12755,10724,11275,11981,11599,10563,12458,12111,13282,14154,13131,10682,12094,12026,12062,12082,11498,11974,11693,10542,11199,11863,11871,10302,11536,10263,11888,11470,
