1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
13649,12191,12804,12549,11986,12977,11822,10736,13010,11914,13186,14666,13225,10911,13178,12789,12658,12803,11129,11846,12357,11079,10818,12586,12345,11275,12526,10195,13004,11673,
13649,11937,12756,12549,11966,12595,11786,10698,12847,11848,13186,14666,13225,10911,13178,12746,12651,12803,11129,11846,12357,11033,10818,12550,12345,11206,12448,10097,13004,11553,
13649,11937,12537,12440,11925,12555,11786,10698,12634,11746,12828,14666,13211,10911,13178,12746,12621,12673,11129,11846,12299,10994,10818,12482,12345,11201,12345,10040,12942,11504,
13522,11937,12420,12433,11899,12483,11786,10698,12556,11746,12828,14666,13211,10911,13103,12695,12621,12673,11129,11845,12299,10816,10818,12482,12345,11201,12109,10040,12850,11410,
13522,11937,12420,12326,11899,12483,11786,10619,12354,11746,12794,14666,13211,10704,12839,12532,12457,12673,11129,11845,12281,10652,10818,12482,12345,11188,12109,10040,12557,11410,
13333,11786,12420,12188,11899,12233,11786,10572,12180,11746,12597,14666,13211,10472,12808,12429,12406,12673,11129,11845,12137,10603,10818,12482,12345,11188,12109,10040,12557,11409,
13333,11732,12420,11926,11874,12233,11786,10572,12180,11746,12561,14666,13211,10365,12808,12426,12317,12663,11129,11845,12042,10603,10818,12482,12345,11188,12109,10040,12407,11329,
13288,11648,12420,11886,11874,12233,11786,10572,12180,11746,12445,14666,13211,10365,12808,12275,12187,12490,11129,11810,11870,10353,10818,12482,12345,11188,12109,10040,12407,11138,
13235,11648,12420,11886,11874,12199,11786,10450,12085,11746,12427,14666,13211,10365,12808,12275,12054,12490,11129,11810,11870,10353,10818,12482,12345,11188,12109,10040,12407,11108,
13235,11563,12420,11841,11767,11791,11786,10450,11991,11746,12396,14666,13211,10365,12808,12275,11996,12427,11129,11810,11870,10353,10810,12482,12345,11004,12109,10040,12407,11108,
13176,11477,12330,11841,11595,11711,11786,10450,11774,11746,12280,14666,13211,10365,12725,12275,11996,12293,11129,11587,11850,10316,10796,12482,12345,10809,12109,10040,12407,11108,
13028,11381,12330,11758,11536,11536,11786,10450,11774,11746,12233,14666,13211,10365,12498,12275,11923,12095,11129,11587,11850,10316,10686,12482,12345,10596,12058,10040,12407,11108,
13028,11381,12330,11703,11518,11536,11786,10303,11774,11672,12233,14666,13211,10365,12394,12275,11923,12095,11129,11587,11850,10261,10625,12396,12345,10579,11928,10040,12407,11108,
12755,11381,12330,11645,11518,11536,11786,10303,11774,11672,12233,14666,13211,10365,12394,12247,11923,12095,11129,11587,11850,10183,10621,12303,12345,10579,11928,10040,12407,11108,
12711,11381,12330,11645,11518,11536,11786,10236,11774,11672,12062,14666,13211,10365,12326,12246,11908,12095,11129,11587,11850,10183,10621,12303,12345,10579,11928,10040,12407,11108,
12711,11368,12330,11645,11508,11536,11786,10115,11774,11672,12062,14666,13211,10365,12226,12211,11908,12022,11129,11587,11734,10100,10608,12303,12244,10579,11928,10040,12407,11108,
12711,11209,12275,11606,11445,11536,11779,10115,11774,11672,12062,14666,13211,10365,12226,12022,11908,11862,11129,11587,11405,10088,10608,12303,12244,10579,11928,10040,12407,11108,
12639,11027,12186,11606,11335,11536,11779,10115,11753,11672,12030,14666,13211,10365,12226,11869,11908,11737,11129,11587,11405,10020,10537,12303,12244,10579,11928,10040,12407,11108,
12639,10935,12022,11606,11238,11536,11779,10115,11709,11672,11815,14666,13211,10365,12226,11745,11908,11737,11129,11587,11220,10020,10472,12303,12198,10579,11928,10040,12407,11108,
12639,10935,12016,11606,11225,11536,11779,10115,11709,11672,11815,14666,13211,10365,12203,11745,11908,11737,11129,11587,11220,10020,10472,12303,12198,10579,11928,10040,12407,11108,
12639,10935,12016,11606,11225,11536,11779,10115,11709,11672,11815,14666,13211,10365,12078,11715,11908,11737,11129,11587,11220,9838,10472,12303,12198,10579,11904,10040,12407,11108,
12639,10935,12016,11606,11225,11536,11779,10115,11709,11672,11815,14654,13211,10365,12078,11694,11908,11704,11129,11587,11220,9774,10472,12303,12198,10579,11738,10040,12407,11108,
12639,10935,12016,11606,11225,11536,11779,10115,11709,11672,11815,14654,13211,10365,12078,11626,11908,11704,10977,11587,11220,9774,10472,12303,12198,10579,11667,10030,12407,11108,
12639,10935,12016,11574,11126,11536,11779,10115,11709,11672,11815,14654,13211,10365,12078,11626,11908,11692,10977,11587,11220,9774,10462,12303,12198,10538,11610,9962,12266,11108,
12639,10935,12016,11506,11041,11536,11779,10115,11709,11672,11815,14654,13211,10365,12053,11626,11908,11692,10977,11587,11220,9774,10462,12303,12198,10465,11556,9962,12266,11108,
12561,10905,12016,11346,11041,11536,11779,10115,11709,11672,11815,14654,13211,10365,12053,11626,11908,11692,10977,11587,11220,9774,10462,12303,12198,10414,11556,9962,12266,11108,
12561,10765,12016,11335,11041,11536,11779,10115,11545,11672,11815,14654,13211,10365,12023,11626,11908,11356,10977,11587,11091,9774,10462,12303,12198,10414,11556,9962,12266,11108,
12561,10765,12016,11335,11041,11536,11779,10115,11450,11583,11815,14654,13211,10365,12023,11626,11767,11356,10977,11587,11091,9774,10462,12303,12198,10414,11556,9962,12266,11108,
12561,10765,12016,11335,11041,11536,11779,10115,11443,11277,11815,14654,13211,10365,12023,11567,11767,11356,10977,11587,11077,9774,10462,12303,12198,10325,11556,9962,12266,11108,
12561,10765,12016,11335,11041,11536,11779,10110,11443,11277,11815,14654,13211,10365,12006,11563,11767,11356,10977,11587,10985,9774,10462,12096,12198,10325,11556,9962,12266,11108,
12561,10765,12016,11335,11041,11536,11779,10001,11443,11277,11815,14604,13211,10365,12006,11529,11767,11356,10977,11587,10882,9774,10462,12082,12198,10325,11556,9962,12266,11108,
12406,10765,12016,11335,11041,11441,11779,10001,11443,11277,11815,14360,13211,10365,12006,11434,11767,11356,10977,11587,10822,9774,10462,12082,12198,10325,11556,9962,12266,11108,
12406,10765,12016,11335,11041,11441,11779,9966,11443,11277,11815,14170,13211,10365,12006,11434,11767,11356,10977,11587,10822,9774,10462,12056,12198,10325,11516,9962,12266,11108,
12362,10765,12016,11328,11041,11441,11779,9966,11443,11277,11815,14170,13211,10365,12006,11434,11684,11356,10977,11587,10769,9774,10462,11909,12198,10325,11434,9962,12266,11108,
12325,10765,12016,11328,11041,11411,11779,9966,11443,11277,11815,14170,13211,10365,12006,11434,11651,11356,10965,11587,10685,9774,10462,11720,12198,10325,11434,9962,12266,11108,
12285,10765,12016,11328,11041,11411,11779,9966,11443,11277,11815,14170,13211,10365,12006,11403,11651,11356,10919,11587,10637,9774,10462,11720,12198,10297,11319,9962,12266,11108,
12285,10765,12016,11324,11041,11411,11779,9966,11443,11277,11815,14158,13211,10365,12006,11403,11651,11356,10819,11587,10637,9774,10462,11720,12198,10297,11319,9962,12266,11108,
12285,10765,11948,11324,11011,11411,11779,9966,11443,11277,11815,14019,13211,10365,12006,11403,11651,11356,10743,11567,10606,9774,10462,11720,12198,10297,11319,9962,12266,11108,
12285,10765,11948,11324,11011,11411,11779,9966,11443,11277,11815,13894,13211,10365,12006,11403,11651,11311,10743,11521,10470,9774,10439,11707,12198,10041,11319,9962,12266,11108,
12285,10765,11948,11133,11011,11411,11779,9966,11443,11277,11815,13894,13211,10365,12006,11403,11651,11167,10743,11521,10470,9774,10439,11594,12198,10002,11319,9962,12266,11108,
12285,10765,11943,11122,11002,11411,11779,9966,11347,11277,11815,13894,13211,10365,12006,11403,11651,11049,10743,11521,10470,9774,10439,11544,12198,9999,11319,9962,12266,11108,
12285,10765,11943,11122,10966,11411,11779,9966,11347,11277,11815,13884,13211,10365,12006,11403,11651,11008,10743,11380,10470,9774,10439,11544,12198,9999,11319,9962,12266,11108,
12252,10765,11943,10949,10966,11411,11779,9966,11347,11277,11815,13858,13211,10365,12006,11403,11651,11008,10743,11292,10470,9774,10439,11544,12198,9957,11319,9962,12266,11108,
12252,10765,11943,10853,10966,11411,11779,9966,11223,11277,11815,13610,13211,10365,12004,11403,11651,11008,10743,11292,10470,9774,10439,11398,12198,9957,11319,9962,12266,11108,
12252,10765,11919,10853,10935,11411,11779,9966,11223,11277,11815,13606,13211,10365,12004,11403,11651,10995,10743,11292,10470,9774,10439,11274,12198,9957,11319,9962,12266,11108,
12252,10765,11891,10853,10935,11380,11779,9966,11194,11277,11815,13606,13211,10365,12004,11360,11651,10884,10743,11292,10470,9774,10439,10957,12198,9957,11319,9962,12266,11108,
12252,10765,11879,10616,10935,11380,11779,9966,11194,11277,11815,13606,13211,10365,12004,11360,11651,10768,10743,11292,10470,9774,10439,10957,12198,9918,11319,9962,12075,11108,
12252,10765,11879,10616,10935,11380,11779,9966,11194,11277,11815,13606,13211,10365,11926,11187,11651,10768,10743,11292,10470,9774,10439,10889,12198,9857,11319,9962,12075,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11180,11277,11815,13606,13211,10365,11729,11187,11651,10752,10743,11292,10470,9774,10439,10879,12198,9857,11319,9962,12075,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11108,11277,11815,13606,13211,10365,11729,10955,11651,10752,10743,11292,10470,9774,10439,10879,12198,9857,11319,9962,12075,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11108,11141,11815,13606,13211,10365,11729,10892,11651,10752,10743,11292,10470,9774,10439,10879,12198,9857,11279,9962,12075,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11052,11116,11815,13606,13211,10365,11697,10892,11651,10752,10743,11292,10470,9774,10439,10879,12198,9857,11279,9962,12075,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11048,11116,11815,13606,13211,10365,11585,10892,11651,10752,10743,11292,10470,9774,10439,10879,12198,9767,11279,9962,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11048,11116,11815,13606,13211,10365,11585,10776,11651,10752,10597,11292,10470,9774,10439,10879,12198,9633,11279,9962,11997,11108,
12252,10765,11879,10616,10935,11380,11765,9872,11034,11116,11815,13606,13211,10365,11585,10776,11651,10752,10465,11292,10470,9774,10439,10879,12198,9633,11279,9962,11997,11108,
