1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16728,16138,17075,16179,15499,15776,15924,15606,16946,16143,17658,17435,17421,13622,16261,16480,16382,16240,14967,14974,16243,14658,13931,16994,16050,14291,15677,13354,16340,14455,
16497,15721,16877,16063,15159,15535,15862,15238,16893,15872,17629,17271,17024,13112,16091,16402,15940,16086,14865,14688,16087,14521,13931,16659,16046,13815,15332,13213,15982,14012,
16309,15251,16733,15570,14939,15414,15507,15115,16528,15646,17368,17239,16651,12923,15707,16398,15578,15794,14486,14217,15764,14493,13835,16453,15875,13431,15213,12900,15530,13893,
16073,15080,16733,15344,14776,15346,15361,14912,16410,15483,17128,17188,16466,12674,15340,16389,15504,15428,14250,14150,15622,14154,13714,15808,15621,13411,14938,12429,15440,13819,
16073,14839,16733,15142,14726,15215,15154,14888,16410,15402,16771,17188,16084,12597,15103,16075,15370,15123,14250,13905,15434,14154,13259,15410,15529,13261,14527,11951,15330,13605,
16064,14839,16569,14970,14658,15214,15003,14519,15973,15346,16710,16703,16049,12144,15081,15635,15238,14743,14068,13816,15434,13952,13248,15172,15375,13011,14464,11895,15049,13505,
15770,14646,16248,14757,14292,15098,14864,14309,15719,15007,16203,16493,15953,12004,14743,15387,15068,14632,13888,13571,15080,13716,12837,15172,15359,12668,14418,11744,14955,13190,
15655,14599,15926,14668,14005,14827,14612,13998,15375,14767,16178,16242,15742,11681,14625,15090,15068,14421,13591,13428,15080,13608,12837,15111,14993,12247,14116,11622,14955,13079,
15497,14442,15627,14309,13908,14776,14536,13696,15375,14767,16020,16014,15742,11629,14625,15090,14894,14421,13339,13079,15080,13560,12837,15023,14688,12247,13894,11391,14836,12826,
15283,14262,15182,14179,13742,14776,14490,13343,15243,14666,15914,16014,15608,11567,14625,14982,14809,14383,13339,12807,14799,13355,12727,15002,14520,12217,13894,11318,14795,12599,
15195,14160,14926,14071,13497,14776,14482,13173,14915,14647,15808,16014,15539,11566,14493,14982,14602,14347,13238,12807,14526,13355,12727,15002,14089,12121,13562,11202,14707,12524,
