1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16728,16138,17075,16179,15499,15776,15924,15606,16946,16143,17658,17435,17421,13622,16261,16480,16382,16240,14967,14974,16243,14658,13931,16994,16050,14291,15677,13354,16340,14455,
16497,15721,16689,16063,15159,15535,15862,15238,16893,15872,17629,17271,17024,13112,15939,16402,15940,16054,14865,14688,16087,14521,13931,16659,16046,13815,15332,13213,15982,14012,
16309,15349,16487,15570,14939,15414,15507,15036,16528,15646,17368,17239,16629,12923,15555,16398,15578,15762,14486,14217,15764,14407,13858,16294,15875,13431,15213,12900,15530,13893,
16073,14798,16117,15344,14659,15346,15342,14906,16163,15483,17128,17239,16359,12674,15555,16389,15470,15463,14370,14150,15622,14068,13632,15922,15621,13411,14938,12429,15490,13819,
16073,14760,15955,15142,14353,15152,15333,14604,15932,15402,16771,17049,15977,12597,15236,16075,15359,15220,14293,14150,15434,13833,13516,15865,15529,13261,14791,11951,15441,13605,
16008,14622,15644,14970,13984,14881,14976,14462,15698,14792,16701,16727,15792,12144,14869,15663,15193,15220,13995,14061,15200,13560,13192,15791,15375,13085,14701,11838,15292,13505,
15920,14622,15644,14757,13883,14830,14832,14110,15698,14341,16475,16564,15674,12004,14671,15663,14991,14917,13908,13971,14972,13428,13052,15621,15070,12883,14362,11664,15263,13505,
15920,14423,15644,14668,13698,14701,14653,13826,15494,14341,16038,16401,15362,11810,14671,15495,14853,14850,13729,13726,14636,12919,12889,15423,14609,12724,14241,11500,15024,13120,
15602,14120,15643,14668,13603,14701,14393,13691,15379,14039,15817,16323,15362,11758,14671,15466,14853,14776,13582,13574,14497,12831,12456,15020,14532,12574,13998,11427,14928,12685,
15005,14005,15340,14668,13417,14559,14304,13500,15151,14033,15688,16185,15359,11696,14671,15129,14708,14651,13582,13399,14310,12635,12359,14999,14138,12574,13919,11299,14861,12527,
14891,13894,15108,14668,13228,14559,14304,13420,15104,13934,15574,16155,15285,11683,14568,14970,14630,14393,13561,13305,14100,12591,12359,14999,13801,12533,13919,11201,14709,12053,
